epoch,learning_rate,train_loss,validation_loss,validation_pearson_mean,validation_spearman_mean,validation_rmse_mean,validation_n_valid_pearson,validation_n_targets
1,0.0003,1.2907588604735225,1.2568991507525706,0.622682374936563,0.5464478867665497,1.076763617771643,27,27
2,0.0003,1.1691869708115044,1.241379086783344,0.6385130518012576,0.5583277411297509,1.066421225115105,27,27
3,0.0003,1.1489882513082839,1.2954219702303285,0.6379554172356924,0.5512883125762729,1.0885208988631214,27,27
4,0.0003,1.1393386290318368,1.2428708384905693,0.6464728481239743,0.5590291583529097,1.065519913479134,27,27
5,0.0003,1.1327482867603191,1.244620346131849,0.6433984869056277,0.5559923361162825,1.066986702106617,27,27
6,0.0003,1.1266754003578605,1.300508407610509,0.6446005415033411,0.5542675881864918,1.086784655297244,27,27
7,0.0003,1.1242406257499662,1.2672638142093553,0.6389729777971903,0.5483310836757014,1.0759812659687467,27,27
8,0.0003,1.1208503674580979,1.2556841603174944,0.6440851544892346,0.5575598795708094,1.0722519644984492,27,27
9,0.0003,1.1201643981654117,1.2378033439984149,0.6506283978621165,0.5602426372198841,1.0647952380003753,27,27
10,0.0003,1.115745686561775,1.2452942624561631,0.6436842856583772,0.5565001885925059,1.066508670647939,27,27
11,0.0003,1.1139664415426433,1.2573089143922056,0.6480011895850852,0.5606792814577671,1.070674588282903,27,27
12,0.0003,1.1117597769466048,1.2731938020041478,0.6435408603262018,0.5521603932110563,1.0783917826634866,27,27
13,0.0003,1.110672145572999,1.2722949701971131,0.6419367337668384,0.5526049553615592,1.076793486321414,27,27
14,0.0003,1.110430739653956,1.2547947222254017,0.6497154180650357,0.5590342331187811,1.0718133703426078,27,27
15,0.0003,1.1087617020617346,1.2606754484912979,0.6444729378929844,0.5562859316314344,1.071234972388656,27,27
16,0.0003,1.1066265526884027,1.267089870640927,0.6445233148557169,0.5543562331022237,1.0751596909982186,27,27
17,0.0003,1.1086007393648587,1.250869658419679,0.6462254093752967,0.5579118695830166,1.0683965219391718,27,27
18,0.0003,1.1058634939914846,1.2442789292452088,0.647034157205511,0.5585476272434876,1.066028731840628,27,27
19,0.0003,1.105242197075387,1.2331513259275209,0.6468326327977357,0.5569397999570744,1.0612567530737982,27,27
20,0.0003,1.1067699397265824,1.2410973501531277,0.6482251253392961,0.5587907108175875,1.0649961155873757,27,27
21,2.9999999999999997e-05,1.0756197751517234,1.240206765163725,0.6519764816319501,0.562469487707737,1.0634432357770425,27,27
22,2.9999999999999997e-05,1.0658806389734128,1.256016491098376,0.6509641232313933,0.5609141795702359,1.0693775084283617,27,27
23,2.9999999999999997e-05,1.0612144660846197,1.2234538617804587,0.653685744161959,0.5648707891546197,1.0565148018024586,27,27
24,2.9999999999999997e-05,1.0580883908547818,1.2336583327324204,0.6521991027726067,0.5622303522792218,1.0615097030445382,27,27
25,2.9999999999999997e-05,1.0539808222336637,1.2149703938270489,0.6542915867434608,0.564311305571816,1.0547950058071702,27,27
26,2.9999999999999997e-05,1.053054880699097,1.2344015010062357,0.6529016196727753,0.5632045231843207,1.0611596173710294,27,27
27,2.9999999999999997e-05,1.0497513029837573,1.2298643003531176,0.6525132645059515,0.5625623984389332,1.060441333938528,27,27
28,2.9999999999999997e-05,1.0487834864345886,1.2417966698148608,0.6488496098253462,0.5590140971623138,1.0651767022079892,27,27
29,2.9999999999999997e-05,1.0460269357809626,1.2327577958162308,0.6514116393195258,0.5610717886310196,1.0609169591356207,27,27
30,2.9999999999999997e-05,1.0445200138516433,1.2386620030982318,0.6505037115679847,0.5602936281079027,1.0636451133975275,27,27
31,2.9999999999999997e-05,1.0437317172456235,1.2408714057902697,0.6519418645788122,0.5627605453014706,1.0648893371776298,27,27
32,2.9999999999999997e-05,1.044239269005062,1.2291127395858161,0.6525107191668617,0.5624159930318728,1.0605497547873743,27,27
33,2.9999999999999997e-05,1.041400186404823,1.2204412687312327,0.653808284688879,0.5626885998479062,1.0562068665469135,27,27
34,2.9999999999999997e-05,1.0403456102576856,1.2541958376839333,0.6528617353351028,0.5631674171126425,1.069791352307355,27,27
35,2.9999999999999997e-05,1.039037653532111,1.2324487550439258,0.6545450830901111,0.564382901651072,1.061083777083291,27,27
36,2.9999999999999997e-05,1.0363549119397977,1.219863235148815,0.6518665739783535,0.563009873151101,1.0566510006233498,27,27
37,2.9999999999999997e-05,1.0358399319234701,1.2350063144415602,0.6527195219640378,0.5624532381104766,1.0628240550005879,27,27
38,2.9999999999999997e-05,1.0354713052036792,1.2486026125469898,0.6502898269229465,0.560533473602861,1.0671892386895638,27,27
39,2.9999999999999997e-05,1.0337620783559494,1.245201599802064,0.6528855473906906,0.5615873112680011,1.0653860469659169,27,27
40,2.9999999999999997e-05,1.0330792474936472,1.2176687319605184,0.6541118886735704,0.5641809018377475,1.054643773370319,27,27
